sample_id	source	group	p_DM2	p_DM2_oof	DM_call	score_basis	n_panel_genes	p_DM2_prev_v4	abs_delta_prev_v4
TCGA-L6-A4ET-01A	TCGA-THCA	TCGA_DM2	0.9996231880232102	0.999480614012943	DM2	centered_panel8_log2	8		
TCGA-DJ-A3V4-01A	TCGA-THCA	TCGA_DM2	0.39131859360994053	0.36249152752489844	DM1	centered_panel8_log2	8		
TCGA-BJ-A291-01A	TCGA-THCA	TCGA_DM1	0.9922370789194482	0.9978370524919379	DM2	centered_panel8_log2	8		
TCGA-J8-A3NZ-01A	TCGA-THCA	TCGA_DM2	0.9995481985626472	0.9995533107460566	DM2	centered_panel8_log2	8		
TCGA-DJ-A3UU-01A	TCGA-THCA	TCGA_DM2	0.9493167373750577	0.9486997464709936	DM2	centered_panel8_log2	8		
TCGA-EL-A4K4-01A	TCGA-THCA	TCGA_DM2	0.9996861773667128	0.9996018179004387	DM2	centered_panel8_log2	8		
TCGA-J8-A3YF-01A	TCGA-THCA	TCGA_DM2	0.9951345914246631	0.9953011703826347	DM2	centered_panel8_log2	8		
TCGA-ET-A25I-01A	TCGA-THCA	TCGA_DM1	0.030359887807676875	0.029972070604711902	DM1	centered_panel8_log2	8		
TCGA-DJ-A3VI-01A	TCGA-THCA	TCGA_DM2	0.9940239203744216	0.9932987820115199	DM2	centered_panel8_log2	8		
TCGA-CE-A3MD-01A	TCGA-THCA	TCGA_DM2	0.9302770852417958	0.9111858179368836	DM2	centered_panel8_log2	8		
TCGA-DJ-A2Q5-01A	TCGA-THCA	TCGA_DM2	0.998967186002304	0.9990607120134397	DM2	centered_panel8_log2	8		
TCGA-EM-A22P-01A	TCGA-THCA	TCGA_DM2	0.9866940766207011	0.9836381222961136	DM2	centered_panel8_log2	8		
TCGA-EL-A4KI-01A	TCGA-THCA	TCGA_DM1	0.10956755897571188	0.12948817639240623	DM1	centered_panel8_log2	8		
TCGA-EL-A3ZN-01A	TCGA-THCA	TCGA_DM2	0.8540928716121313	0.820460290356584	DM2	centered_panel8_log2	8		
