sample	mapk	panel	ht	patient	sample_id	sub_cluster	axis_class	ht_class
TCGA-ET-A25I-01A	-0.1272477095152595	0.49242049676764676	0.09922734455418544	TCGA-ET-A25I	TCGA-ET-A25I-01A	sub_A	mapk_high	ht_high
TCGA-EL-A4KI-01A	0.2480702068773993	0.21463317491641104	-0.8011239187858192	TCGA-EL-A4KI	TCGA-EL-A4KI-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A2N9-01A	-2.3230064884111483	0.49824042064372487	0.8774568779485292	TCGA-BJ-A2N9	TCGA-BJ-A2N9-01A	sub_B	mapk_low	ht_high
TCGA-BJ-A3PT-01A	0.22036377816048303	0.6307398257473735	0.19611985729086864	TCGA-BJ-A3PT	TCGA-BJ-A3PT-01A	sub_A	mapk_high	ht_high
TCGA-EM-A2CM-01A	-0.33708044921946717	-0.42810614221576154	-0.6128398289131074	TCGA-EM-A2CM	TCGA-EM-A2CM-01A	sub_A	mapk_low	ht_high
TCGA-EM-A3O6-01A	-1.0696421095411712	0.8157343698149115	-0.956047515224795	TCGA-EM-A3O6	TCGA-EM-A3O6-01A	sub_B	mapk_low	ht_low
TCGA-EM-A4FH-01A	-1.3464571091678315	1.0427456170872962	-1.3511571469716743	TCGA-EM-A4FH	TCGA-EM-A4FH-01A	sub_B	mapk_low	ht_low
TCGA-EM-A2CN-01A	-0.10831007254682494	0.7690950954421166	-1.1156321334205652	TCGA-EM-A2CN	TCGA-EM-A2CN-01A	sub_A	mapk_high	ht_low
TCGA-FY-A40N-01A	0.14438245571218822	0.9228821804696647	0.333647668771975	TCGA-FY-A40N	TCGA-FY-A40N-01A	sub_A	mapk_high	ht_high
TCGA-J8-A3YD-01A	-0.18428526023812267	1.0729768002506415	-0.6867753986899817	TCGA-J8-A3YD	TCGA-J8-A3YD-01A	sub_A	mapk_high	ht_high
TCGA-FY-A3WA-01A	-0.6137619858101973	0.8126372373495672	-1.234232577861873	TCGA-FY-A3WA	TCGA-FY-A3WA-01A	sub_B	mapk_low	ht_low
TCGA-EM-A2OV-01A	-1.8784438794826859	0.4856817739969146	-1.0029300220337032	TCGA-EM-A2OV	TCGA-EM-A2OV-01A	sub_B	mapk_low	ht_low
