sample_id	stage	subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank	n_MAPK_genes	n_panel_genes
GSM7980868_LPTC-1	LPTC	epithelial_top50	epithelial_qc_microenv	-0.006482033018536535	0.858404875922348	760	0.023078843203615213	0.5252476575166195	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	epithelial_qc_microenv_spatial	-0.0011044449796302862	0.9757501661059529	760	0.012198186629192179	0.7370671074355785	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	epithelial_qc_microenv_spatial_detection	-0.04795921519400502	0.18659202951990442	760	0.006895042776239537	0.8494873327206706	760	9	8
GSM7980869_LPTC-2	LPTC	all_spots	raw	0.5234896835504252	2.529809064736877e-285	4071	0.5234896835504251	2.5298090647364837e-285	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	epithelial	0.26780470381351845	8.156494606425619e-68	4071	0.2187874373942003	2.5970404528743124e-45	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	qc	0.27185810392395465	6.613797837642062e-70	4071	0.1483313478950059	1.835439952253296e-21	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	microenv	0.514577315488243	3.9778800025698496e-274	4071	0.4342949706326925	6.086134843817377e-187	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	spatial	0.4425756743314107	6.8152929991742086e-195	4071	0.4917207625070982	6.881407112111893e-247	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	detection	0.2617697757305759	9.080879248003868e-65	4071	0.22603831570566923	2.524915850940224e-48	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	epithelial_qc	0.18589912205914796	5.6227484177999146e-33	4071	0.08860737713751599	1.48797324339246e-08	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	epithelial_qc_microenv	0.1617394536417343	2.902862059059233e-25	4071	0.07633544716363812	1.08172775696801e-06	4071	9	8
GSM7980869_LPTC-2	LPTC	all_spots	epithelial_qc_microenv_spatial	0.11711574214176597	6.578892570981058e-14	4071	0.07090918610539965	5.9367638502631964e-06	4071	9	8
