tcga_sample_id	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell
TCGA-EL-A3T9-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
TCGA-EM-A1YD-01A	0.0	0.27526786833847156	0.5263546013751653	0.19837753028636307	0.0	0.0	0.0	0.0
TCGA-EL-A3T6-11A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A3BP-01A	0.0	0.8354107377025849	0.1645892622974151	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3H1-01A	0.0	0.35424101535229324	0.6457589846477068	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3VK-01A	0.0	0.5372114580883002	0.4477560130745649	0.01503252883713495	0.0	0.0	0.0	0.0
TCGA-EM-A4FR-01A	0.0	0.49030803721093397	0.509691962789066	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A22M-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3T8-11A	0.0	0.110483798967354	0.7742182892762014	0.11529791175644459	0.0	0.0	0.0	0.0
TCGA-EL-A3ZR-01A	0.0	0.41324449462748525	0.5867555053725146	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A4UW-01A	0.0	0.34947024845489283	0.2877354194613365	0.3627943320837706	0.0	0.0	0.0	0.0
TCGA-DJ-A13V-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A417-01A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A2P1-06A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A1QQ-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A39R-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A3DR-01A	0.0	0.45264943329129864	0.5473505667087013	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A2N3-01B	0.0	0.3371291522955249	0.662870847704475	0.0	0.0	0.0	0.0	0.0
TCGA-CE-A485-01A	0.0	0.7807425918900397	0.0	0.21925740810996028	0.0	0.0	0.0	0.0
TCGA-ET-A3DT-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-CE-A13K-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3V8-01A	0.0	0.43944217195003	0.56055782804997	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A290-01A	0.0	0.6374828170499317	0.0	0.3625171829500683	0.0	0.0	0.0	0.0
TCGA-ET-A3BO-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3N3-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3N3-11A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A1QH-01A	0.0	0.3643018152464067	0.008203771397664242	0.6274944133559289	0.0	0.0	0.0	0.0
TCGA-J8-A3O2-06A	0.0	0.9876827269706286	0.012317273029371393	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A2Q9-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A190-01A	0.0	0.3347525434895216	0.6306080433566109	0.0346394131538675	0.0	0.0	0.0	0.0
