sample	lineage	DM1_like	HT13_score
TCGA-AB-2841-03	acute myeloid leukemia	1.910759733304909	-0.9304761991278846
TCGA-AB-2842-03	acute myeloid leukemia	1.5794712556257675	-0.20505493271418682
TCGA-AB-2843-03	acute myeloid leukemia	1.6902153009856022	0.8789687369881694
TCGA-AB-2844-03	acute myeloid leukemia	1.6599228165898854	-0.1896140131868872
TCGA-AB-2845-03	acute myeloid leukemia	1.5865815049862035	0.4420682462161124
TCGA-AB-2846-03	acute myeloid leukemia	1.6209332234004608	0.0407538618067879
TCGA-AB-2847-03	acute myeloid leukemia	1.7382578889739608	0.9010242643837204
TCGA-AB-2848-03	acute myeloid leukemia	1.3931596402035251	-0.12393876207604512
TCGA-AB-2849-03	acute myeloid leukemia	1.6102704185599404	-0.6473434073834762
TCGA-AB-2851-03	acute myeloid leukemia	1.4905928508912536	0.4697460673930294
TCGA-AB-2853-03	acute myeloid leukemia	1.715085700940385	-0.7258199236335444
TCGA-AB-2854-03	acute myeloid leukemia	1.540540023576425	0.3757403674605441
TCGA-AB-2855-03	acute myeloid leukemia	1.3361505719310542	-0.5081791995805571
TCGA-AB-2856-03	acute myeloid leukemia	1.68551614459187	0.2737319503766323
TCGA-AB-2857-03	acute myeloid leukemia	1.963197070650745	1.200440801213428
TCGA-AB-2858-03	acute myeloid leukemia	1.531847384061244	0.3592648283804104
TCGA-AB-2859-03	acute myeloid leukemia	1.6543262396135947	-0.1981037359939005
TCGA-AB-2860-03	acute myeloid leukemia	1.7832593020894292	0.20870869814452847
TCGA-AB-2861-03	acute myeloid leukemia	1.3691255322443543	-0.25268016635100504
TCGA-AB-2862-03	acute myeloid leukemia	1.878903990378776	-0.37107024359408974
TCGA-AB-2863-03	acute myeloid leukemia	1.5181157870526285	-0.9255247653946982
TCGA-AB-2865-03	acute myeloid leukemia	1.6326271447356622	0.5004990951517369
TCGA-AB-2866-03	acute myeloid leukemia	1.5765591155976564	0.1727794365160252
TCGA-AB-2867-03	acute myeloid leukemia	1.6753489445266174	0.1252257738436278
TCGA-AB-2868-03	acute myeloid leukemia	1.7532695579090642	0.45662387421901135
TCGA-AB-2869-03	acute myeloid leukemia	1.409331338496645	-0.2687537611972676
TCGA-AB-2870-03	acute myeloid leukemia	1.6959193408380446	0.43606076016367745
TCGA-AB-2871-03	acute myeloid leukemia	1.4582850801741696	0.3231221138648539
TCGA-AB-2872-03	acute myeloid leukemia	1.4429812214854352	-0.4186954451154569
TCGA-AB-2873-03	acute myeloid leukemia	1.5536947271249586	0.09469494495700033
TCGA-AB-2874-03	acute myeloid leukemia	1.3910389917860315	-0.3062830932766741
TCGA-AB-2875-03	acute myeloid leukemia	1.4933495416200948	0.7641987240777001
TCGA-AB-2877-03	acute myeloid leukemia	1.4817794804162563	-1.48068459765729
TCGA-AB-2879-03	acute myeloid leukemia	1.4940833905159288	-1.7313619534516758
TCGA-AB-2880-03	acute myeloid leukemia	1.6571773052854073	0.07515205676364857
TCGA-AB-2881-03	acute myeloid leukemia	1.686297188866782	0.6338352698405674
TCGA-AB-2882-03	acute myeloid leukemia	1.682541567859961	0.4831140793730463
TCGA-AB-2884-03	acute myeloid leukemia	1.532385880901702	0.19038410580111245
TCGA-AB-2885-03	acute myeloid leukemia	1.620542783380328	-0.07403627512235841
TCGA-AB-2886-03	acute myeloid leukemia	1.6636805316960557	0.5391160251737752
TCGA-AB-2887-03	acute myeloid leukemia	1.5616126439900044	0.29471436725145495
TCGA-AB-2888-03	acute myeloid leukemia	1.4330934086545184	0.48908249481787913
TCGA-AB-2889-03	acute myeloid leukemia	1.707640847642404	0.1543090448817641
TCGA-AB-2890-03	acute myeloid leukemia	1.6217300234520824	0.22596462222348976
TCGA-AB-2891-03	acute myeloid leukemia	1.6146597436811347	-0.3845563388529526
TCGA-AB-2895-03	acute myeloid leukemia	1.5470503157983988	-0.7210198879586235
TCGA-AB-2896-03	acute myeloid leukemia	1.5528625033824617	-0.09001998607793688
TCGA-AB-2897-03	acute myeloid leukemia	1.7207759984100257	-0.8048353577528776
TCGA-AB-2898-03	acute myeloid leukemia	1.7913852981772074	-0.43201635990655685
TCGA-AB-2899-03	acute myeloid leukemia	1.6226500146341027	1.3137480480813448
TCGA-AB-2900-03	acute myeloid leukemia	1.8392966813611225	-0.45363223828462446
TCGA-AB-2901-03	acute myeloid leukemia	1.5397118736875937	-1.2013587208790595
TCGA-AB-2903-03	acute myeloid leukemia	1.5909434104711315	-1.7834320793263967
TCGA-AB-2904-03	acute myeloid leukemia	1.75497686720321	-0.23759714523157022
