	subB_score	subB_GMM	subB_otsu_call
GSM6591290	-1.2690946499235383	0	0
GSM6591291	-1.3558736695343128	0	0
GSM6591292	-3.068260529756885	0	0
GSM6591293	-1.353390550346389	0	0
GSM6591294	-1.7045979303257082	0	0
GSM6591295	-1.3799434717122283	0	0
GSM6591296	-1.586314541565815	0	0
GSM6591297	-0.7637149730600923	0	0
GSM6591298	-0.9114574594087119	0	0
GSM6591299	1.0483176129241942	1	1
GSM6591300	-2.430423283756485	0	0
GSM6591301	-0.1808440827772641	0	0
GSM6591302	1.1061611192595606	1	1
GSM6591303	-2.2654859359848785	0	0
GSM6591304	0.19426370054866837	0	1
GSM6591305	0.629275924008869	1	1
GSM6591306	-1.3742654908792038	0	0
GSM6591307	-1.5017083002538008	0	0
GSM6591308	-0.8167404320665688	0	0
GSM6591309	-1.2043590051891877	0	0
GSM6591310	-0.973986998456712	0	0
GSM6591311	-0.0863371155746182	0	0
GSM6591312	-0.024422765516312617	0	0
GSM6591313	-0.6766135848926548	0	0
GSM6591314	-1.040250918145154	0	0
GSM6591315	1.2753066321237019	1	1
GSM6591316	1.3953530874067597	1	1
GSM6591317	-1.6019809256935034	0	0
GSM6591318	-1.6784351519690373	0	0
GSM6591319	-1.107245613054099	0	0
GSM6591320	-0.37221799883581097	0	0
GSM6591321	-1.1785766684558499	0	0
GSM6591322	0.40285725458782845	1	1
GSM6591323	-1.4305630894496306	0	0
GSM6591324	-0.32477428014580056	0	0
GSM6591325	0.4886621611879326	1	1
GSM6591326	0.31039106793059934	0	1
GSM6591327	0.06197427833857588	0	1
GSM6591328	0.5933796587520422	1	1
GSM6591329	-0.13092977918298787	0	0
GSM6591330	-0.8964548105062805	0	0
GSM6591331	-0.7341357181114296	0	0
GSM6591332	-0.0451968189290091	0	0
GSM6591333	-0.5045682901866151	0	0
GSM6591334	0.4589577182235355	1	1
GSM6591335	0.6950882558064138	1	1
GSM6591336	0.5800661939493885	1	1
GSM6591337	-0.18537618590567048	0	0
GSM6591338	0.45578019815283094	1	1
GSM6591339	-0.3760963036207443	0	0
GSM6591340	-0.44726808411677443	0	0
GSM6591341	-0.47031595530401293	0	0
GSM6591342	-0.7681569143948064	0	0
GSM6591343	-0.9192243621592934	0	0
GSM6591344	0.30247578226921135	0	1
GSM6591345	-0.09597197473171933	0	0
GSM6591346	-1.0846618277194207	0	0
GSM6591347	-0.41388792694835685	0	0
GSM6591348	-1.4592693205051819	0	0
GSM6591349	-0.06284228132805628	0	0
GSM6591350	-0.897657982706579	0	0
GSM6591351	0.3941339032399305	1	1
GSM6591352	0.6046028260566684	1	1
GSM6591353	0.21203784614144838	0	1
GSM6591354	-1.1093533994081974	0	0
GSM6591355	-1.7153494450127842	0	0
GSM6591356	-0.8131405506594562	0	0
GSM6591357	1.0096507900253895	1	1
GSM6591358	0.34314477506830743	1	1
GSM6591359	-0.5279956252711901	0	0
GSM6591360	-0.6126695392570328	0	0
GSM6591361	-0.9141221279283755	0	0
GSM6591362	-0.7727547366270079	0	0
GSM6591363	-0.9204840476041078	0	0
GSM6591364	-0.3757106305983684	0	0
GSM6591365	-1.4911046940621362	0	0
