target	feature_set	heldout_sample	heldout_stage	alpha	n	spearman_r	pearson_r	r2	mae	auroc_q50	auroc_q75	auroc_q90
DM1_like_score	morphology_only	GSM7980875_ATC-4	ATC	149.24955450518323	200	0.24764301446097509	0.22695580806141022	0.029389795418507947	0.33164314056737004	0.575	0.734	0.815
DM1_like_score	clinical_text_only	GSM7980860_N-1	PT	10000.0	200			-0.008143577843018779	0.363170794433332	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980861_N-2	PT	10000.0	200			-0.0019183566113778472	0.38704283959206975	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980862_N-3	PT	10000.0	200			-7.898277683193733e-05	0.3199903137223717	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980863_N-4	PT	10000.0	200			-0.007376549849559044	0.361462104056868	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980864_PTC-1	PTC	10000.0	200			-0.029255442245043506	0.3477989942916747	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980865_PTC-2	PTC	10000.0	200			-0.0049726367646287795	0.3776438766646784	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980866_PTC-3	PTC	10000.0	200			-0.020813619933125915	0.3181700823791603	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980867_PTC-4	PTC	10000.0	200			-0.0005449333133993317	0.3005859186564342	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980868_LPTC-1	LPTC	10000.0	200			-0.00990866984899208	0.30724157378587313	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980869_LPTC-2	LPTC	10000.0	200			-0.00754678969186684	0.3882951183097107	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980870_LPTC-3	LPTC	10000.0	200			-0.00043329516502277343	0.41357401734767857	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980871_LPTC-4	LPTC	10000.0	200			-0.00038503381210142074	0.39489920564724335	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980872_ATC-1	ATC	10000.0	200			-0.011478950940702282	0.16143654845014255	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980873_ATC-2	ATC	10000.0	200			-0.007496351589729722	0.08563056550135638	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980874_ATC-3	ATC	10000.0	200			-0.00036546174979368296	0.06824914967468974	0.5	0.5	0.5
DM1_like_score	clinical_text_only	GSM7980875_ATC-4	ATC	10000.0	200			-5.918985804242993e-05	0.3369336538557795	0.5	0.5	0.5
DM1_like_score	morphology_plus_text	GSM7980860_N-1	PT	606.1898993497572	200	0.3640753324585449	0.4328646505065867	0.168880989630518	0.334445470409137	0.6582000000000001	0.7056	0.7611111111111111
DM1_like_score	morphology_plus_text	GSM7980861_N-2	PT	606.1898993497572	200	0.23680342008550218	0.24007705159318954	0.04061476107323503	0.37767739580152015	0.6345999999999999	0.6540000000000001	0.6602777777777779
DM1_like_score	morphology_plus_text	GSM7980862_N-3	PT	606.1898993497572	200	0.19558538963474087	0.22148675788756636	0.0320853082636946	0.31676667971384076	0.5646	0.6698666666666666	0.7563888888888889
DM1_like_score	morphology_plus_text	GSM7980863_N-4	PT	300.7882518043102	200	-0.017331433285832146	0.054154565119929506	-0.0057801621053494845	0.3655492106893097	0.46900000000000003	0.4917333333333333	0.5713888888888888
DM1_like_score	morphology_plus_text	GSM7980864_PTC-1	PTC	300.7882518043102	200	0.1242040404637945	0.12016777625243098	-0.0013022581031028047	0.3335150773272711	0.54	0.5641333333333334	0.5322222222222222
DM1_like_score	morphology_plus_text	GSM7980865_PTC-2	PTC	606.1898993497572	200	0.43749643741093536	0.4597170855734958	0.13597263619037114	0.347667070502673	0.6773000000000001	0.7733333333333333	0.8152777777777778
DM1_like_score	morphology_plus_text	GSM7980866_PTC-3	PTC	606.1898993497572	200	0.09067655091748592	0.06184051171980331	-0.018730117635730625	0.3073757130613913	0.5491	0.6276	0.735
DM1_like_score	morphology_plus_text	GSM7980867_PTC-4	PTC	300.7882518043102	200	0.31721862003755663	0.42471060558151547	0.1447291665693018	0.27866399427952904	0.6698000000000001	0.7578666666666667	0.7961111111111111
DM1_like_score	morphology_plus_text	GSM7980868_LPTC-1	LPTC	300.7882518043102	200	0.2745308632715818	0.36931547089436595	0.12751765477639299	0.27999370367077653	0.6113000000000001	0.7073333333333334	0.7513888888888889
DM1_like_score	morphology_plus_text	GSM7980869_LPTC-2	LPTC	606.1898993497572	200	0.25951351118097843	0.2871107485051159	0.07372024315846881	0.35699759367912764	0.6173	0.6157333333333334	0.6666666666666667
DM1_like_score	morphology_plus_text	GSM7980870_LPTC-3	LPTC	606.1898993497572	200	0.6084551391878812	0.5042722608561258	0.15248009463455703	0.366115707608316	0.8343	0.7122666666666666	0.7055555555555556
DM1_like_score	morphology_plus_text	GSM7980871_LPTC-4	LPTC	2.227542951999559	200	0.17882928779319035	0.10001038495173462	-0.048478502507750765	0.3895718945277001	0.5666	0.6409333333333334	0.7036111111111111
DM1_like_score	morphology_plus_text	GSM7980872_ATC-1	ATC	606.1898993497572	200	0.15437954438766824	0.11856731496423606	-0.06114790517929958	0.18274311288851336	0.6025274725274726	0.6025274725274726	0.6025274725274726
DM1_like_score	morphology_plus_text	GSM7980873_ATC-2	ATC	606.1898993497572	200	-0.1593121901068747	-0.04938435660007119	-0.08981262143595625	0.16932198100688978	0.20512820512820515	0.20512820512820515	0.20512820512820515
DM1_like_score	morphology_plus_text	GSM7980874_ATC-3	ATC	606.1898993497572	200	-0.10485662897226843	-0.12057195671501358	-0.22729040585560134	0.1352221468170575	0.30769230769230765	0.30769230769230765	0.30769230769230765
DM1_like_score	morphology_plus_text	GSM7980875_ATC-4	ATC	300.7882518043102	200	0.24410045669448718	0.23055055158002338	0.0496239957423068	0.3276993522151287	0.5827	0.74	0.8172222222222222
