cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
CCL22,CCR7,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,
FLT4,KDR,0.986,0.986,0.928,,,0.998,1.0,0.994,,,0.94,0.9,0.0,,,,,,,,,,,,
KDR,FLT4,0.986,0.998,0.94,,,0.986,1.0,0.9,,,0.928,0.994,0.0,,,,,,,,,,,,
THBS1,MMP2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.196,,0.014,0.0,0.21,0.05,,0.0,0.0,0.01,0.0,
NPPA,MME,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,MMP9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,0.134,0.134,0.142,0.0,,0.01,0.01,0.01,0.0,
SFTPA1,SFTPA2,,,,,,,,,,,,,,,,,,,,,,,,,
KDR,PLCG2,0.716,0.928,0.958,0.55,,0.542,0.88,0.942,0.466,,0.124,0.354,0.056,0.28,,,,,,,,,,,
IFNG,TNF,,,,,,,,,,,,,,,,,,,0.0,,,,,,
PRSS3,F2RL3,,,,,,,,,,,,,,,,,,,,,,,,,
