depmap_id	cell_line	v14_prediction	mutation_label	compound	broad_id	dose_uM	moa	phase	logfold_change
ACH-000716	TT2609-C02	BRAF_like	RAS	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	-0.114198446833
ACH-000716	TT2609-C02	BRAF_like	RAS	topotecan	BRD-K55696337-003-24-4	2.50001813	topoisomerase inhibitor	Launched	-4.05184857921
ACH-000716	TT2609-C02	BRAF_like	RAS	gabexate	BRD-K59256312-066-15-7	2.431061328	serine protease inhibitor	Launched	-0.428728042122
ACH-000716	TT2609-C02	BRAF_like	RAS	resveratrol	BRD-K80738081-001-46-8	2.500037854	cytochrome P450 inhibitor, SIRT activator	Launched	-0.0216124375458
ACH-000897	FTC-238	BRAF_like	other	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	0.188428018625
ACH-000897	FTC-238	BRAF_like	other	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	0.0166826272753
ACH-000897	FTC-238	BRAF_like	other	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	0.105582135716
ACH-000897	FTC-238	BRAF_like	other	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	1.23693807729
ACH-000897	FTC-238	BRAF_like	other	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.538799616566
ACH-000897	FTC-238	BRAF_like	other	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-3.4618281405
ACH-000897	FTC-238	BRAF_like	other	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	-1.16832339771
ACH-000897	FTC-238	BRAF_like	other	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	1.01488249357
ACH-000897	FTC-238	BRAF_like	other	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-1.19604209257
ACH-000897	FTC-238	BRAF_like	other	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	-4.01063312223
ACH-000897	FTC-238	BRAF_like	other	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	0.0586662265545
ACH-000897	FTC-238	BRAF_like	other	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.554693965482
ACH-000897	FTC-238	BRAF_like	other	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.143619482854
ACH-000897	FTC-238	BRAF_like	other	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	0.402247406939
ACH-000897	FTC-238	BRAF_like	other	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.689989276945
ACH-000897	FTC-238	BRAF_like	other	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	-0.163625936825
ACH-000897	FTC-238	BRAF_like	other	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	-2.8701845289
ACH-000897	FTC-238	BRAF_like	other	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	1.01451936325
ACH-000897	FTC-238	BRAF_like	other	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	0.931221140635
ACH-000897	FTC-238	BRAF_like	other	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	-0.770368479832
ACH-000897	FTC-238	BRAF_like	other	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.171168842065
ACH-000897	FTC-238	BRAF_like	other	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.608918761882
ACH-000897	FTC-238	BRAF_like	other	topotecan	BRD-K55696337-003-24-4	2.50001813	topoisomerase inhibitor	Launched	-1.82729568832
ACH-000897	FTC-238	BRAF_like	other	gabexate	BRD-K59256312-066-15-7	2.431061328	serine protease inhibitor	Launched	-0.0655003168098
ACH-000897	FTC-238	BRAF_like	other	resveratrol	BRD-K80738081-001-46-8	2.500037854	cytochrome P450 inhibitor, SIRT activator	Launched	0.463942785148
ACH-000903	FTC-133	RAS_like	other	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	0.275466635888
ACH-000903	FTC-133	RAS_like	other	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	-0.162559522574
ACH-000903	FTC-133	RAS_like	other	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	0.757426649203
ACH-000903	FTC-133	RAS_like	other	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	0.727869953781
ACH-000903	FTC-133	RAS_like	other	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.178207466984
ACH-000903	FTC-133	RAS_like	other	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-2.30172575189
ACH-000903	FTC-133	RAS_like	other	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	0.0208208624351
ACH-000903	FTC-133	RAS_like	other	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	-0.240321354438
ACH-000903	FTC-133	RAS_like	other	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-1.58848043696
ACH-000903	FTC-133	RAS_like	other	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	-2.77789748062
