gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
AP001767.2	-0.07603789221771333	-0.43638161263783914	0.007533769488916867	0.04501198775752514
SLC43A1	0.5339480014944438	0.5007791927965604	0.007535556225901277	0.0450174616448222
SEC61G	0.24817135853405947	0.46495396224668145	0.00754353740705561	0.04505993564239952
RN7SKP16	-0.04661123852562339	-0.4400785371652121	0.007545158014391181	0.04506441049690256
AC020931.1	-0.016672080937655705	-0.42905829430465237	0.007549398978523954	0.04508453292279157
RCAN1	0.4687765740008887	0.49950070629922905	0.007551324687714999	0.04509082574208202
DACT3-AS1	-0.03909409364315734	-0.43717424524422466	0.00755636547976499	0.04511360776545759
AC008610.1	-0.25083863780209326	-0.4733169881145464	0.007556884811053619	0.04511360776545759
AC009163.6	-0.01945010652425698	-0.4098204316085905	0.00755814505738684	0.04511592278223835
TRAPPC8	-0.22891153516467533	-0.43753277594299433	0.007559883434751725	0.045121090985046915
PYY2	-0.2527301120570975	-0.43490581495930103	0.007575713808800825	0.045210356233918
FOXE1	0.4480462284059321	0.47710731674977364	0.007579605727328969	0.04522836277012558
AP003498.2	-0.3458051892267662	-0.4672346949300322	0.00758093142516049	0.04523001319910532
SRGAP3-AS3	-0.00691133144595065	-0.4138796649873652	0.0075816316530302056	0.04523001319910532
AC008734.1	-0.017988097408588435	-0.43656308074836553	0.007602188122177686	0.045347416078663084
RAD21-AS1	0.1437181033328464	0.49878966582723927	0.007604427565393327	0.04535554254141342
AC025627.2	-0.01567532645426684	-0.43817015068001897	0.007607238259543169	0.045367073882970455
G0S2	-0.606273888268221	-0.4728068814213984	0.007609986347280299	0.04537358121850287
COX6B2	-0.03475543855299508	-0.4315818923514923	0.007610084312971619	0.04537358121850287
H3P43	0.039553159054247666	0.5413203501389385	0.00761154636876601	0.04537706643708314
AP005205.2	0.0345669966918042	0.4951505825027512	0.007615949996271045	0.045398085332238845
C17orf50	-0.13501306420721965	-0.43513840681955523	0.007622505777200919	0.045431926722549185
SH3TC1	-0.27727839353477624	-0.49274601529421186	0.007626039347940238	0.04544774930521351
RALGPS2	0.320590618630038	0.4519816508277883	0.007627754355336512	0.045452731674211384
LRRC3B	0.10593532304039191	0.5356846601387849	0.0076320069668158515	0.04547283238403209
AC015712.6	-0.14593882734962108	-0.4100722971108098	0.007636158068499554	0.0454923237189148
SDHAP3	-0.3231126572116434	-0.4565962254856524	0.00763788438603817	0.045497366603665455
SAMD1	-0.2558652886980237	-0.4762228789426214	0.007642250955870832	0.04551813397593142
BUD31P2	-0.017884086427752726	-0.41734847854543866	0.007644128484244159	0.04552407325218815
CICP4	-0.008171716894031497	-0.4075922772165313	0.007652152671213991	0.04556661294117304
AP006287.3	0.1494581749420048	0.5058375105588548	0.007659033178383227	0.04560233329733737
AC093725.1	-0.007612061376812717	-0.3867992269659983	0.007668258119060911	0.045652002716412475
LINC00595	-0.09736235627515967	-0.40975601214049095	0.007672143437396728	0.04566987559470729
TSSK5P	0.2057365404140532	0.4804909371523638	0.007674577308850539	0.045679105342768214
AP1AR	0.19771121099006983	0.45467867964825787	0.007677799877240168	0.045693026752441745
IQGAP1	-0.28276730139041817	-0.4674764459085165	0.00768751664980353	0.045745589583197965
DRAM2	0.15071901189272197	0.45253468649244327	0.007696391552915187	0.04579313123838422
NECAP2	-0.15329657821689313	-0.4846602896966118	0.007697673399906493	0.04579548886131669
C19orf25	-0.21750391980346784	-0.48371137270672354	0.0077067649339567	0.04584430248473886
FAM106A	-0.2488012968678182	-0.4293048305880742	0.007708615221898331	0.04585003470664649
