claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite,topical_relevance,new_score
BRAF/RAS-negative ('dark matter') PTC subtypes,use of natural language processing to extract and classify p|,arxiv,1,,Use of natural language processing to extract and classify papillary thyroid cancer features from surgical pathology reports,,,Ricardo Loor-Torres,0.0,0.0,100.0,0.04748856104640522,14.748856104640522
BRAF/RAS-negative ('dark matter') PTC subtypes,10.7759/cureus.84879,semantic_scholar_influential,1,10.7759/cureus.84879,Outcomes of Prophylactic Central Neck Dissection in Clinically Node-Negative Papillary Thyroid Carcinoma: A Retrospective Study From a Tertiary Care Centre,2025.0,Cureus,Monika Ballabh,0.0,0.0,125.0,0.041110595183669926,14.111059518366993
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/biomedicines14010168,europepmc_fulltext,1,10.3390/biomedicines14010168,State of the Art on Thyroid Cancer Biology and Oncology.,2026.0,,,0.0,0.0,126.0,0.03310897089380896,13.310897089380896
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/genes17010036,europepmc_fulltext,1,10.3390/genes17010036,Review of Genomic Drivers of Thyroid Cancer and Their Clinical Implications.,2025.0,,,0.0,0.0,125.0,0.03239758952593656,13.239758952593656
BRAF/RAS-negative ('dark matter') PTC subtypes,improving the diagnosis of thyroid cancer by machine learnin|,arxiv,1,,Improving The Diagnosis of Thyroid Cancer by Machine Learning and Clinical Data,,,Nan Miles Xi,0.0,0.0,100.0,0.028148223741551272,12.814822374155128
BRAF/RAS-negative ('dark matter') PTC subtypes,an explainable ai model for predicting the recurrence of dif|,arxiv,1,,An Explainable AI Model for Predicting the Recurrence of Differentiated Thyroid Cancer,,,Mohammad Al-Sayed Ahmad,0.0,0.0,100.0,0.02754647211786416,12.754647211786416
BRAF/RAS-negative ('dark matter') PTC subtypes,interpretable data mining of follicular thyroid cancer ultra|,arxiv,1,,Interpretable Data Mining of Follicular Thyroid Cancer Ultrasound Features Using Enhanced Association Rules,,,Songlin Zhou,0.0,0.0,100.0,0.022231801942056727,12.223180194205673
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/ijms262211100,europepmc_fulltext,1,10.3390/ijms262211100,Inside the Matrix: Integrated Cytology and Molecular Testing of Thyroid FNAC Samples Using a Commercial Synthetic 3D Scaffold.,2025.0,,,0.0,0.0,125.0,0.021631984546711187,12.163198454671118
BRAF/RAS-negative ('dark matter') PTC subtypes,gene expression and pathway bioinformatics analysis detect a|,arxiv,1,,Gene expression and pathway bioinformatics analysis detect a potential predictive value of MAP3K8 in thyroid cancer progression,,,Valentina Di Salvatore,0.0,0.0,100.0,0.021136379616411367,12.113637961641137
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/biomedicines14020453,europepmc_fulltext,1,10.3390/biomedicines14020453,"Cancer Stemness and Dedifferentiation in Anaplastic Thyroid Carcinoma: Insights into a Multigenic, Microenvironmental Network and the Role of CD44.",2026.0,,,0.0,0.0,126.0,0.010937707320796079,11.093770732079609
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s00428-025-04375-0,europepmc_fulltext,1,10.1007/s00428-025-04375-0,Encapsulated neoplasms of the thyroid gland.,2026.0,,,0.0,0.0,126.0,0.0071786183017069835,10.717861830170698
