threshold	prev	sens	spec	npv	ppv	unnecessary_surgery	missed_cancer	nb_model	nb_treat_all	nb_treat_none	tp	fp	tn	fn
0.6400000000000001	0.1	0.925	0.8695555555555555	0.9905075306923175	0.4406860409718914	0.1174	0.0075	-0.11621111111111124	-1.5000000000000009	0.0	925	1174	7826	75
0.6500000000000001	0.1	0.925	0.8705555555555555	0.9905183312262958	0.44258373205741625	0.1165	0.0075	-0.123857142857143	-1.5714285714285725	0.0	925	1165	7835	75
0.6600000000000001	0.1	0.925	0.8707777777777778	0.990520728008089	0.44300766283524906	0.1163	0.0075	-0.13325882352941193	-1.6470588235294128	0.0	925	1163	7837	75
0.6700000000000002	0.1	0.925	0.8714444444444445	0.9905279110886588	0.44428434197886646	0.1157	0.0075	-0.14240606060606076	-1.7272727272727284	0.0	925	1157	7843	75
0.6800000000000002	0.1	0.925	0.8722222222222222	0.9905362776025236	0.4457831325301205	0.115	0.0075	-0.1518750000000002	-1.8125000000000016	0.0	925	1150	7850	75
0.6900000000000002	0.1	0.924	0.8728888888888889	0.9904185577407968	0.44680851063829785	0.1144	0.0076	-0.16223225806451635	-1.9032258064516143	0.0	924	1144	7856	76
0.7000000000000002	0.1	0.857	0.9714444444444444	0.9839072698627054	0.7692998204667864	0.0257	0.0143	0.02573333333333328	-2.0000000000000018	0.0	857	257	8743	143
0.7100000000000002	0.1	0.857	0.9715555555555555	0.9839090806796444	0.7699910152740341	0.0256	0.0143	0.02302413793103443	-2.1034482758620707	0.0	857	256	8744	143
0.7200000000000002	0.1	0.857	0.9715555555555555	0.9839090806796444	0.7699910152740341	0.0256	0.0143	0.0198714285714285	-2.2142857142857166	0.0	857	256	8744	143
0.7300000000000002	0.1	0.857	0.9716666666666667	0.9839108910891089	0.77068345323741	0.0255	0.0143	0.016755555555555496	-2.3333333333333357	0.0	857	255	8745	143
0.7400000000000002	0.1	0.857	0.9717777777777777	0.9839127010912364	0.7713771377137714	0.0254	0.0143	0.013407692307692232	-2.4615384615384643	0.0	857	254	8746	143
0.7500000000000002	0.1	0.856	0.9718888888888889	0.9838038465864357	0.7718665464382326	0.0253	0.0144	0.009699999999999903	-2.600000000000003	0.0	856	253	8747	144
0.7600000000000002	0.1	0.856	0.9721111111111111	0.9838074890363206	0.7732610659439928	0.0251	0.0144	0.006116666666666562	-2.7500000000000036	0.0	856	251	8749	144
0.7700000000000002	0.1	0.855	0.9722222222222222	0.983698707138842	0.7737556561085973	0.025	0.0145	0.0018043478260868356	-2.9130434782608736	0.0	855	250	8750	145
0.7800000000000001	0.1	0.855	0.9722222222222222	0.983698707138842	0.7737556561085973	0.025	0.0145	-0.003136363636363701	-3.090909090909093	0.0	855	250	8750	145
0.7900000000000001	0.1	0.855	0.9722222222222222	0.983698707138842	0.7737556561085973	0.025	0.0145	-0.008547619047619137	-3.2857142857142887	0.0	855	250	8750	145
