	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F6_127N|PTC	0.006907142	1.0269527	1.3141254	1.3956133	1.178675	1.2106372	0.006907142	PTC
F6_128N|PTC	0.006907142	0.8539766	1.1191634	1.120268	0.9972975	1.1309739	0.006907142	PTC
F6_132C|PTC	0.006907142	0.8111484	0.8990396	1.1877365	0.9874214	1.3507878	0.006907142	PTC
F6_133N|PTC	0.006907142	0.7320882	0.7779979	1.0982715	1.106481	0.9481689	0.006907142	PTC
F7_127N|PTC	1.465718	1.4179565	1.5317745	1.510719	1.212312	1.3854808	0.006907142	PTC
F7_128C|PTC	0.9799325	1.3156079	1.5904662	1.1851569	1.208487	1.2835568	0.006907142	PTC
F7_132C|PTC	1.043257	1.0147111	0.7941898	0.9071535	1.065771	1.2085969	0.006907142	PTC
F7_133C|PTC	1.87965	1.0920869	2.3619381	1.5159722	1.287712	1.3638629	0.006907142	PTC
F8_127N|PTC	0.7845895	0.9618008	1.1643085	1.4338088	0.006907142	1.166287	0.006907142	PTC
F8_129N|PTC	1.055132	0.7526389	0.8752271	0.6014718	0.006907142	0.9227801	0.006907142	PTC
F8_129C|PTC	1.395506	1.2902582	1.3896143	1.1321817	0.006907142	1.2937085	0.006907142	PTC
F8_131N|PTC	0.6544831	1.1259184	1.2052022	0.7598365	0.006907142	1.1979842	0.006907142	PTC
F8_132N|PTC	0.871901	0.8934319	0.895788	0.7692604	0.006907142	0.9587825	0.006907142	PTC
F9_129C|PTC	0.8854269	0.9511156	1.0953635	1.3079931	1.099147	1.0086892	0.006907142	PTC
F9_130C|PTC	1.445671	1.2397032	2.0156459	2.0856898	1.894427	1.4470573	0.006907142	PTC
F9_133N|PTC	1.406696	1.4342124	1.5018199	2.2504939	1.329382	1.5331753	0.006907142	PTC
F10_127C|PTC	0.006907142	0.7042138	0.6688544	1.3922424	1.021194	1.4226128	0.006907142	PTC
F10_130N|PTC	0.006907142	0.562148	0.869202	1.4333805	1.048239	1.0766544	0.006907142	PTC
F10_131N|PTC	0.006907142	0.6673376	0.8386708	0.8500727	1.113212	0.8859024	0.006907142	PTC
F10_131C|PTC	0.006907142	1.2147942	1.5124273	1.121302	1.10971	1.3522812	0.006907142	PTC
F10_132C|PTC	0.006907142	0.7962305	0.738279	1.2825196	0.9542489	1.2345823	0.006907142	PTC
F11_130C|PTC	0.006907142	1.3171985	2.303389	1.7881341	1.200019	1.2791073	0.006907142	PTC
F11_132C|PTC	0.006907142	1.0098942	0.8750265	1.0824846	1.328093	1.0031212	0.006907142	PTC
F11_133N|PTC	0.006907142	0.9260374	1.0618156	1.0852985	1.204738	0.9895232	0.006907142	PTC
F12_127N|PTC	0.006907142	1.2863683	2.6046336	1.7769117	1.139328	1.3562723	0.006907142	PTC
F12_128C|PTC	0.006907142	1.0092881	0.8872231	0.5889151	0.9954573	1.0779676	0.006907142	PTC
F12_129C|PTC	0.006907142	1.0106216	1.0613416	0.7429695	1.014812	1.0476258	0.006907142	PTC
F12_130C|PTC	0.006907142	0.943475	1.0411896	0.9865974	1.033623	1.1254871	0.006907142	PTC
F12_133N|PTC	0.006907142	2.238617	2.3183032	2.35339	1.289527	1.5542339	0.006907142	PTC
F13_127C|PTC	0.006907142	1.2221237	1.6045552	1.8729592	1.104977	1.564005	1.095531	PTC
F13_129N|PTC	0.006907142	0.7570152	0.6413257	0.862438	1.025884	1.0283146	0.8414688	PTC
F13_130C|PTC	0.006907142	1.4511876	1.5990295	1.3403506	1.069817	1.2514138	1.013634	PTC
F13_131C|PTC	0.006907142	1.4927412	1.5855375	1.5677617	1.062668	1.2836671	0.9922184	PTC
F13_132C|PTC	0.006907142	1.9762591	1.2925372	2.2716446	1.020859	1.3450207	1.268342	PTC
F13_133N|PTC	0.006907142	0.8388353	0.9294693	1.2325126	1.126845	1.2197425	0.872735	PTC
F14_127N|PTC	0.8912381	0.6877111	0.8195687	1.3489233	0.9847977	1.0802549	0.006907142	PTC
F14_129C|PTC	0.8875555	0.8644637	0.906259	1.4579401	1.465852	0.8302362	0.006907142	PTC
F14_130C|PTC	1.858706	1.5993295	2.1691627	1.621348	1.320708	1.2330067	0.006907142	PTC
F14_131N|PTC	1.304129	0.9108766	1.6992437	1.4596092	1.189818	1.4010341	0.006907142	PTC
F15_128C|PTC	0.6211614	0.7123983	0.5907017	0.9592646	0.9492533	0.8586619	0.006907142	PTC
F15_129C|PTC	1.422092	1.1490508	1.4673859	0.8224943	1.046638	0.8067166	0.006907142	PTC
F16_127N|PTC	1.17264	1.0783006	1.3487844	1.5540551	1.172454	1.2979622	0.006907142	PTC
F16_130N|PTC	1.306096	1.2091114	1.3825647	1.4575929	1.343522	1.185665	0.006907142	PTC
F16_130C|PTC	0.4741258	0.6267589	0.6786933	1.1141466	1.048414	1.0205266	0.006907142	PTC
F16_131C|PTC	0.8978971	0.9077505	1.1436288	1.3089721	1.133358	1.12687	0.006907142	PTC
F16_133N|PTC	0.92278	0.8700806	1.0461502	1.0754609	1.162223	1.0477238	0.006907142	PTC
F17_127C|PTC	0.006907142	0.9667727	1.1251501	1.1256866	1.072437	1.2008633	0.006907142	PTC
F17_129N|PTC	0.006907142	1.0058516	1.6513913	2.0146804	1.269665	1.2846069	0.006907142	PTC
F17_129C|PTC	0.006907142	0.7045752	0.9854533	1.1857279	0.9879073	1.1616322	0.006907142	PTC
