lineage	hallmark	n	n_genes	spearman_r	p	fdr
brain lower grade glioma	Pancreas Beta Cells	542	40	-0.18527837589338464	1.417524252462567e-05	1.865163490082325e-05
brain lower grade glioma	Pperoxisome	542	101	0.1742416120417614	4.53518603461358e-05	5.8143410700174094e-05
brain lower grade glioma	Myogenesis	542	198	0.12124164591952176	0.004705520760764819	0.005881900950956023
brain lower grade glioma	Hedgehog Signaling	542	35	0.105950076541505	0.013592069237506749	0.0165756941920814
brain lower grade glioma	Fatty Acid Metabolism	542	154	-0.1044614900117321	0.014974229333932545	0.01782646349277684
brain lower grade glioma	Spermatogenesis	542	132	0.10188549897324761	0.017659250384086455	0.020534012074519135
brain lower grade glioma	Bile Acid Metabolism	542	112	0.0930497720825624	0.03031259984941493	0.03444613619251697
brain lower grade glioma	Myc Targets V1	542	188	0.08002955768645872	0.06262490096708385	0.06958322329675984
brain lower grade glioma	DNA Repair	542	140	0.06112772695715948	0.1552726460243979	0.16877461524391074
brain lower grade glioma	Cholesterol Homeostasis	542	72	-0.05729143801219623	0.18292244455405615	0.1945983452702725
brain lower grade glioma	Adipogenesis	542	189	0.04037109826837917	0.34819929337937455	0.3627075972701818
brain lower grade glioma	Myc Targets V2	542	58	-0.010593413628273091	0.8056345082785952	0.8220760288557093
brain lower grade glioma	KRAS Signaling Dn	542	188	-0.00618410441163431	0.885784390272446	0.885784390272446
breast invasive carcinoma	Allograft Rejection	1218	195	0.7956024656511873	6.130212659030332e-267	3.065106329515166e-265
breast invasive carcinoma	IL-6/JAK/STAT3 Signaling	1218	87	0.7823903796251959	2.419550292049688e-252	6.04887573012422e-251
breast invasive carcinoma	Inflammatory Response	1218	197	0.7388590398061541	1.0746468287609562e-210	1.7910780479349268e-209
breast invasive carcinoma	Interferon Gamma Response	1218	196	0.7102013214988185	1.4288446307868142e-187	1.7860557884835176e-186
breast invasive carcinoma	Complement	1218	195	0.7084167066048267	3.1729378678640123e-186	3.1729378678640124e-185
breast invasive carcinoma	IL-2/STAT5 Signaling	1218	194	0.6784605613061884	4.697206851211367e-165	3.914339042676139e-164
breast invasive carcinoma	TNF-alpha Signaling via NF-kB	1218	197	0.6145185142082021	2.2416513681250543e-127	1.601179548660753e-126
breast invasive carcinoma	KRAS Signaling Up	1218	193	0.5724958053102519	5.483375697528854e-107	3.4271098109555336e-106
breast invasive carcinoma	UV Response Up	1218	152	0.5709217330418792	2.794095226385725e-106	1.5522751257698473e-105
breast invasive carcinoma	PI3K/AKT/mTOR  Signaling	1218	104	0.5650397951495895	1.1357769139578182e-103	5.678884569789092e-103
breast invasive carcinoma	Interferon Alpha Response	1218	92	0.5336091674388628	1.398968504821543e-90	6.358947749188832e-90
breast invasive carcinoma	Estrogen Response Early	1218	192	-0.5174577660993094	2.253828028194533e-84	9.390950117477222e-84
breast invasive carcinoma	Hypoxia	1218	190	0.49823557569420307	2.0772970241227473e-77	7.989603938933643e-77
breast invasive carcinoma	Reactive Oxygen Species Pathway	1218	45	0.4899946811140406	1.4784301465266466e-74	5.280107666166595e-74
breast invasive carcinoma	Apoptosis	1218	158	0.467909534702358	2.7561208622120634e-67	9.187069540706878e-67
breast invasive carcinoma	Spermatogenesis	1218	132	0.433035021225221	7.720694249940964e-57	2.4127169531065512e-56
breast invasive carcinoma	mTORC1 Signaling	1218	192	0.4152022607322407	5.977806532225313e-52	1.7581783918309745e-51
breast invasive carcinoma	Estrogen Response Late	1218	196	-0.40606501095785613	1.4775509466911265e-49	4.104308185253129e-49
breast invasive carcinoma	KRAS Signaling Dn	1218	188	0.39161606752962624	6.374649874983431e-46	1.6775394407851135e-45
breast invasive carcinoma	Apical Junction	1218	194	0.37201894084042775	2.8383835803217443e-41	7.09595895080436e-41
breast invasive carcinoma	Notch Signaling	1218	32	0.36846104740111574	1.8338406600390084e-40	4.366287285807163e-40
breast invasive carcinoma	Mitotic Spindle	1218	196	0.36692225262784717	4.080107204119752e-40	9.272970918453981e-40
breast invasive carcinoma	G2-M Checkpoint	1218	184	0.3625498953331929	3.8658670897684634e-39	8.404058890801009e-39
breast invasive carcinoma	Wnt-beta Catenin Signaling	1218	42	0.36210103038277924	4.8601050043640794e-39	1.0125218759091831e-38
breast invasive carcinoma	Glycolysis	1218	196	0.3602253926446802	1.2597360999528138e-38	2.5194721999056276e-38
breast invasive carcinoma	Coagulation	1218	136	0.3510627805295947	1.2062921620983853e-36	2.3197926194199716e-36
breast invasive carcinoma	Cholesterol Homeostasis	1218	72	0.34951226422416154	2.572128579892589e-36	4.7632010738751646e-36
breast invasive carcinoma	E2F Targets	1218	187	0.33597040799920663	1.602366928630902e-33	2.8613695154123252e-33
breast invasive carcinoma	p53 Pathway	1218	190	0.3021380483095743	3.9722913680193916e-27	6.848778220723088e-27
breast invasive carcinoma	Hedgehog Signaling	1218	35	0.29568807766337896	5.325134034679476e-26	8.87522339113246e-26
breast invasive carcinoma	Angiogenesis	1218	36	0.2815442526905457	1.2561376795686869e-23	2.026028515433366e-23
breast invasive carcinoma	Unfolded Protein Response	1218	106	0.27488974296835	1.4756601039131106e-22	2.3057189123642354e-22
breast invasive carcinoma	Epithelial Mesenchymal Transition	1218	194	0.27325998512082655	2.670324849993367e-22	4.0459467424141924e-22
breast invasive carcinoma	Myc Targets V1	1218	188	0.2701823756510054	8.0949132950321055e-22	1.1904284257400156e-21
breast invasive carcinoma	heme Metabolism	1218	190	0.2671278373442098	2.3995296215944847e-21	3.427899459420693e-21
breast invasive carcinoma	Myc Targets V2	1218	58	0.26137394639904055	1.7890523222748004e-20	2.484794892048334e-20
breast invasive carcinoma	Apical Surface	1218	43	0.25408128060388696	2.1273658841537433e-19	2.8748187623699235e-19
breast invasive carcinoma	Xenobiotic Metabolism	1218	197	0.2464184136251701	2.6375077306558234e-18	3.4704049087576625e-18
breast invasive carcinoma	TGF-beta Signaling	1218	54	0.20866456720189985	1.8949608281364385e-13	2.42943695914928e-13
breast invasive carcinoma	Myogenesis	1218	198	0.18625796524183186	5.711112650537406e-11	7.138890813171758e-11
breast invasive carcinoma	Androgen Response	1218	96	0.14076145908689353	8.135609391110131e-07	9.921474867207476e-07
breast invasive carcinoma	UV Response Dn	1218	137	0.08821607508254325	0.002059074783647983	0.002451279504342837
breast invasive carcinoma	Adipogenesis	1218	189	0.08406161874644763	0.003325559267580389	0.003866929380907429
breast invasive carcinoma	Protein Secretion	1218	95	-0.0720624423351671	0.01188104826385347	0.0135011912089244
breast invasive carcinoma	DNA Repair	1218	140	0.06921413658352317	0.01569288008739287	0.017436533430436524
breast invasive carcinoma	Pancreas Beta Cells	1218	40	0.06388026831443827	0.025787276459385333	0.028029648325418842
