sample	lineage	DM1_portable	HLA1_module	HLA2_module
TCGA-AB-3001-03	acute myeloid leukemia	-0.2786404912198402	0.35020594593341636	-0.9409049280221002
TCGA-AB-3002-03	acute myeloid leukemia	0.236754756935243	0.21345427150353694	1.1476100855220912
TCGA-AB-3005-03	acute myeloid leukemia	0.949751071269203	0.9378238540846828	1.5902708998581616
TCGA-AB-3006-03	acute myeloid leukemia	-0.942618710761354	0.0017836607297989169	-0.3246051177376308
TCGA-AB-3007-03	acute myeloid leukemia	-1.0427546057240331	0.41699220715457036	-1.4265719163057007
TCGA-AB-3008-03	acute myeloid leukemia	0.0712483057883686	0.2611879739804771	-0.06269275901008899
TCGA-AB-3009-03	acute myeloid leukemia	-0.4535952273497916	-0.42643560297555416	0.04890310836158992
TCGA-AB-3011-03	acute myeloid leukemia	-1.6361109179168818	-1.124682678032348	-1.1149986984099616
TCGA-AB-3012-03	acute myeloid leukemia	-1.0197532232845354	0.4119098915635731	-1.3949793962039425
TCGA-OR-A5J1-01	adrenocortical cancer	-0.4681108758233238	-0.8811633261757631	0.42480605335778593
TCGA-OR-A5J2-01	adrenocortical cancer	0.6983303017912712	-0.46066114030446614	-0.25759778949550666
TCGA-OR-A5J3-01	adrenocortical cancer	-0.9732092761201776	0.1516612514764459	-0.6201301859116086
TCGA-OR-A5J5-01	adrenocortical cancer	-1.0853333570113073	-0.5834123070462635	0.039546858504785884
TCGA-OR-A5J6-01	adrenocortical cancer	-0.3870175240046997	0.16119424866964815	0.8854325455350133
TCGA-OR-A5J7-01	adrenocortical cancer	-1.6112983985985865	-0.027845612030510346	-0.9212423825480075
TCGA-OR-A5J8-01	adrenocortical cancer	7.0280959183692895	0.5791165259098192	1.459916269815331
TCGA-OR-A5J9-01	adrenocortical cancer	-0.9758405959158212	-1.0210959897486398	-0.6017440595541556
TCGA-OR-A5JA-01	adrenocortical cancer	-0.4976109497204944	0.6011298904613099	-0.6344514026092452
TCGA-OR-A5JB-01	adrenocortical cancer	6.791154528542074	1.641860809826099	1.2605744822832914
TCGA-OR-A5JC-01	adrenocortical cancer	-0.5847719938859721	0.5015845002451822	0.21536521565136488
TCGA-OR-A5JD-01	adrenocortical cancer	0.5623886663975716	-0.44692858524971757	1.2559715316562936
TCGA-OR-A5JE-01	adrenocortical cancer	-1.159542904144138	0.11614377598172065	0.19841502028600988
TCGA-OR-A5JF-01	adrenocortical cancer	-1.071102329932473	-0.25634059714509255	-0.7686774096000949
TCGA-OR-A5JG-01	adrenocortical cancer	-0.3865901890829335	-0.82113002551719	-0.13824147269737444
TCGA-OR-A5JI-01	adrenocortical cancer	0.7323434936929205	0.16512464324368362	0.8355343584668296
TCGA-OR-A5JJ-01	adrenocortical cancer	0.3797070054942952	-0.2918277166118993	-0.28205992123172813
TCGA-OR-A5JK-01	adrenocortical cancer	1.2031310683426164	1.2293800960095718	1.5781545242303234
TCGA-OR-A5JL-01	adrenocortical cancer	-0.6637456530592603	0.902184589461121	-0.5047915266842816
TCGA-OR-A5JM-01	adrenocortical cancer	-1.5535892515354366	-0.8198497641185538	-1.6190848278663774
TCGA-OR-A5JO-01	adrenocortical cancer	2.958173770251985	1.0302238076556856	1.6634767653860072
